@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.002,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.002,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0.001,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0.001,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.002,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,818,90,82,8,0,91.111111,8.888889,0,0,0.033143,0.12728,94.920402,99.939473,40.843321,39.584152,1.259169,0.453815,0.439824,0.013991,1.276295,0.014181,3.124855,1,82,1,8,0,0,0,0,0.911111,1,0.953488,?,0.5,0.911111,0.911111,0.911111,0.088889,0.088889,?,0.911111,?,?,0.5,0.838025,?,0.911111,0.002,0,0.015625,0,15.625,0,14568,128329,25681,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,4,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,818,90,82,8,0,91.111111,8.888889,0,0,0.033143,0.12728,94.920402,99.939473,40.843321,39.584152,1.259169,0.453815,0.439824,0.013991,1.276295,0.014181,3.124855,1,82,1,8,0,0,0,0,0.911111,1,0.953488,?,0.5,0.911111,0.911111,0.911111,0.088889,0.088889,?,0.911111,?,?,0.5,0.838025,?,0.911111,0.002,0,0,0,0,0,14568,128329,25681,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0.001,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.002,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.002,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,818,90,82,8,0,91.111111,8.888889,0,0,0.033143,0.12728,94.920402,99.939473,40.843321,39.584152,1.259169,0.453815,0.439824,0.013991,1.276295,0.014181,3.124855,1,82,1,8,0,0,0,0,0.911111,1,0.953488,?,0.5,0.911111,0.911111,0.911111,0.088889,0.088889,?,0.911111,?,?,0.5,0.838025,?,0.911111,0.001,0,0,0,0,0,14568,128329,25681,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,5,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,818,90,82,8,0,91.111111,8.888889,0,0,0.033143,0.12728,94.920402,99.939473,40.843321,39.584152,1.259169,0.453815,0.439824,0.013991,1.276295,0.014181,3.124855,1,82,1,8,0,0,0,0,0.911111,1,0.953488,?,0.5,0.911111,0.911111,0.911111,0.088889,0.088889,?,0.911111,?,?,0.5,0.838025,?,0.911111,0.001,0,0,0,0,0,14568,128329,25681,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.002,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,818,90,82,8,0,91.111111,8.888889,0,0,0.033143,0.12728,94.920402,99.939473,40.843321,39.584152,1.259169,0.453815,0.439824,0.013991,1.276295,0.014181,3.124855,1,82,1,8,0,0,0,0,0.911111,1,0.953488,?,0.5,0.911111,0.911111,0.911111,0.088889,0.088889,?,0.911111,?,?,0.5,0.838025,?,0.911111,0.001,0,0,0,0,0,14568,128329,25681,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,6,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,818,90,82,8,0,91.111111,8.888889,0,0,0.033143,0.12728,94.920402,99.939473,40.843321,39.584152,1.259169,0.453815,0.439824,0.013991,1.276295,0.014181,3.124855,1,82,1,8,0,0,0,0,0.911111,1,0.953488,?,0.5,0.911111,0.911111,0.911111,0.088889,0.088889,?,0.911111,?,?,0.5,0.838025,?,0.911111,0.001,0,0,0,0,0,14568,128329,25681,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.002,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,83,8,0,91.208791,8.791209,0,0,0.033002,0.12665,94.889273,99.932045,41.002208,39.725729,1.276479,0.450574,0.436546,0.014027,1.293448,0.014214,3.154582,1,83,1,8,0,0,0,0,0.912088,1,0.954023,?,0.5,0.912088,0.912088,0.912088,0.087912,0.087912,?,0.912088,?,?,0.5,0.839633,?,0.912088,0.001,0.004,0,0,0,0,14568,128188,25822,100,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034772,0.134283,95.192528,100.01362,49.378155,49.099516,0.278639,0.542617,0.539555,0.003062,1.276331,0.014026,2.584809,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0.015625,0,15.625,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
afterPreprocess-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-unset-class-temporarily,7,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201207.0324,817,91,82,9,0,90.10989,9.89011,0,0,0.034775,0.134295,95.192967,100.013728,50.378155,1113.425323,-1063.047168,0.553606,12.235443,-11.681837,1.276312,0.014025,2.533463,1,82,1,9,0,0,0,0,0.901099,1,0.947977,?,0.5,0.901099,0.901099,0.901099,0.098901,0.098901,?,0.901099,?,?,0.5,0.819829,?,0.901099,0.001,0,0,0,0,0,14568,128188,25822,98.901099,20,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
